credit_card,cpu,purchase_date
7507-8932-7364-6419,AMD Ryzen 5 7912X,2018-10-27
3891-8070-6397-1510,Intel Core i1-6843K,2019-09-03
5893-7431-2429-9759,AMD Ryzen 8 6733X,2020-05-30
2395-5105-9623-2784,Intel Core i9-9949K,2019-05-26
3688-1364-8518-1057,AMD Ryzen 3 7780X,2017-12-28
6444-8155-3435-6170,Intel Core i5-8763K,2020-04-13
8347-4503-4773-9918,AMD Ryzen 9 8151X,2017-10-27
7232-8736-2101-6158,Intel Core i5-6469K,2018-10-22
9658-7257-3626-5996,AMD Ryzen 1 5871X,2018-05-17
2795-5569-8579-5459,Intel Core i1-7575K,2018-08-19
6807-1042-8237-3021,AMD Ryzen 7 1251X,2019-02-03
8108-1459-6653-3678,Intel Core i7-1903K,2020-02-01
5695-1617-6535-2510,AMD Ryzen 4 8263X,2019-05-12
5172-1516-6378-6220,Intel Core i8-2282K,2018-10-29
7284-4619-6320-4789,AMD Ryzen 8 4888X,2019-02-21
5677-6413-2108-4724,Intel Core i9-6227K,2020-08-21
9425-2374-7516-1153,AMD Ryzen 3 5799X,2020-02-20
9540-1443-6948-9533,Intel Core i9-3568K,2019-09-21
9477-3460-3230-7816,AMD Ryzen 1 9210X,2019-08-29
9879-2092-1260-3720,Intel Core i8-6856K,2019-10-21
1884-9028-4008-2627,AMD Ryzen 1 9113X,2018-01-29
6989-7525-6667-5379,Intel Core i5-4606K,2020-07-31
7968-7074-3976-1576,AMD Ryzen 6 7666X,2020-04-16
5144-2531-4788-8006,Intel Core i6-1304K,2019-03-09
2147-9159-3011-1138,AMD Ryzen 5 7396X,2019-12-09
4291-6027-9102-9569,Intel Core i4-9449K,2018-06-20
7332-5925-1286-6862,AMD Ryzen 2 8584X,2018-10-04
7301-7234-8844-7418,Intel Core i4-1909K,2019-07-24
3191-6013-1744-3588,AMD Ryzen 1 6367X,2018-10-26
8729-6644-1036-9535,Intel Core i6-9275K,2017-12-17
5270-2055-3136-7595,AMD Ryzen 9 3208X,2017-12-09
2053-5744-4578-9197,Intel Core i4-7262K,2019-12-01
7065-2760-9573-4041,AMD Ryzen 6 9979X,2019-01-31
7820-6222-6952-3433,Intel Core i3-2648K,2020-05-20
5992-2519-3286-3804,AMD Ryzen 4 8702X,2020-08-07
6262-3179-2925-7132,Intel Core i1-7132K,2018-02-09
7760-8782-1912-5001,AMD Ryzen 4 6988X,2020-01-27
8418-5661-9895-3053,Intel Core i3-2284K,2018-02-23
8879-4768-9213-2919,AMD Ryzen 8 1966X,2018-06-10
1638-3450-6720-2216,Intel Core i1-1936K,2019-06-10
9394-6505-1357-1849,AMD Ryzen 3 3401X,2020-03-20
4816-6345-7295-1532,Intel Core i4-4330K,2019-05-25
7589-4533-8153-5341,AMD Ryzen 2 5570X,2020-05-12
4245-7297-5675-9254,Intel Core i7-1702K,2018-06-10
6823-4543-1578-8809,AMD Ryzen 7 7109X,2018-04-14
9383-2986-3745-3685,Intel Core i1-4817K,2018-03-20
7320-8831-1870-8938,AMD Ryzen 1 7468X,2019-09-06
1701-9601-3440-3882,Intel Core i1-1936K,2018-07-06
8319-1334-3636-1211,AMD Ryzen 6 1609X,2018-08-13
9257-8444-3772-8816,Intel Core i3-6564K,2019-04-15
7429-7357-2348-2294,AMD Ryzen 9 8746X,2019-08-25
3978-6232-7972-6896,Intel Core i2-7979K,2019-07-26
1588-5118-7916-3371,AMD Ryzen 6 3305X,2019-09-13
1405-7637-3498-2412,Intel Core i7-6597K,2018-11-06
7820-6118-9940-9704,AMD Ryzen 4 6876X,2020-09-12
4449-3183-4160-1712,Intel Core i5-9324K,2018-12-21
1441-4583-8249-3810,AMD Ryzen 8 6845X,2018-05-31
2952-9151-9898-1765,Intel Core i6-1647K,2020-06-05
1500-1205-7003-9057,AMD Ryzen 6 7310X,2020-01-09
5080-6821-2207-3979,Intel Core i2-1655K,2018-07-25
1844-1953-5997-2517,AMD Ryzen 3 1471X,2018-04-24
9840-1987-2588-1658,Intel Core i6-5241K,2018-12-09
1990-1687-7600-2096,AMD Ryzen 6 2176X,2019-09-28
8667-8810-2373-9481,Intel Core i2-4418K,2019-02-03
2236-6201-7818-8583,AMD Ryzen 3 9461X,2018-07-04
9242-4807-8509-8118,Intel Core i8-5553K,2020-08-11
2002-8653-3838-5765,AMD Ryzen 6 4754X,2020-07-24
2996-4402-5836-5903,Intel Core i4-2861K,2018-07-18
6722-5261-1153-3780,AMD Ryzen 6 4805X,2018-07-21
9558-2151-7644-6416,Intel Core i5-5473K,2019-11-05
5286-3197-3034-1827,AMD Ryzen 4 2962X,2019-04-13
4455-4298-1440-3730,Intel Core i3-8835K,2019-03-14
5838-6568-8121-7113,AMD Ryzen 8 2616X,2019-08-27
4728-7601-2532-5388,Intel Core i1-6832K,2018-10-03
6720-8296-8717-7806,AMD Ryzen 8 5361X,2017-10-28
3569-7475-5882-7842,Intel Core i8-2157K,2020-02-14
6854-9445-3255-3819,AMD Ryzen 4 8492X,2017-12-27
5272-7222-1055-6377,Intel Core i3-8417K,2019-03-20
5231-7032-5781-9345,AMD Ryzen 4 5265X,2019-03-01
2776-3739-7757-5756,Intel Core i3-7872K,2018-11-01
5905-2608-1567-9233,AMD Ryzen 5 1706X,2018-02-22
9946-5827-8011-8545,Intel Core i5-6245K,2018-12-01
1338-5868-1318-1352,AMD Ryzen 8 1410X,2019-09-17
4191-8359-9492-5056,Intel Core i8-9398K,2019-07-11
1758-6471-8929-2781,AMD Ryzen 6 1411X,2020-04-13
1643-8401-1622-3845,Intel Core i6-6241K,2018-06-23
2840-4005-4730-1860,AMD Ryzen 6 9745X,2019-06-19
8551-4812-2625-5563,Intel Core i6-9457K,2019-11-30
8896-1257-6276-1063,AMD Ryzen 2 4464X,2020-09-01
3809-6745-2610-6263,Intel Core i4-5490K,2018-10-31
4272-6653-9811-4192,AMD Ryzen 6 4142X,2020-01-15
8461-8835-7484-1767,Intel Core i4-1511K,2018-12-17
4343-1684-8617-3527,AMD Ryzen 8 1737X,2020-01-06
4720-2092-7141-8712,Intel Core i7-9989K,2019-11-09
9966-2168-5049-2233,AMD Ryzen 6 1665X,2020-05-13
7695-7099-2739-7962,Intel Core i2-1947K,2019-12-06
7677-6298-1629-6411,AMD Ryzen 2 4227X,2018-01-26
5931-2883-4940-7407,Intel Core i2-2279K,2018-07-06
2662-6430-9016-3603,AMD Ryzen 5 7846X,2019-11-20
8233-3553-7350-4143,Intel Core i7-3189K,2020-09-02
7927-1085-2509-6183,AMD Ryzen 6 4193X,2019-10-07
4923-4367-2803-5070,Intel Core i8-1476K,2019-07-06
8188-8246-6389-5994,AMD Ryzen 6 2143X,2018-05-19
4859-3009-2809-6487,Intel Core i2-7573K,2019-08-05
5335-1048-2818-9648,AMD Ryzen 2 5923X,2020-02-08
5040-3662-8853-7883,Intel Core i4-3220K,2020-04-16
1280-4584-5250-1133,AMD Ryzen 1 2784X,2019-04-16
1268-4649-1889-9493,Intel Core i2-8718K,2020-02-04
7940-2137-2526-1167,AMD Ryzen 3 8156X,2019-06-15
9837-1217-1305-9401,Intel Core i8-5242K,2019-11-21
4581-8717-5316-8278,AMD Ryzen 7 7914X,2020-10-15
1735-8833-7021-2227,Intel Core i4-9727K,2018-07-05
5455-5818-7572-4269,AMD Ryzen 4 3883X,2020-03-06
4803-5742-4135-2035,Intel Core i5-7807K,2019-09-06
5362-7782-9258-9194,AMD Ryzen 5 6553X,2018-03-23
9163-9751-4187-7248,Intel Core i6-7852K,2019-07-27
6900-8855-1116-8340,AMD Ryzen 5 2148X,2017-12-14
4936-5123-7841-8311,Intel Core i2-6713K,2017-10-25
6350-5674-3238-1149,AMD Ryzen 8 8664X,2019-09-02
6295-2671-2503-4101,Intel Core i7-4406K,2020-01-30
7376-4009-9640-3049,AMD Ryzen 5 5248X,2018-01-29
2631-3788-3215-5496,Intel Core i8-6346K,2018-01-07
7182-5087-1718-9167,AMD Ryzen 4 4185X,2019-04-17
6780-9581-6358-5425,Intel Core i8-3248K,2018-03-14
8862-2255-9655-3599,AMD Ryzen 4 1303X,2018-06-14
1942-9410-6860-8879,Intel Core i6-9600K,2018-04-07
1477-1198-9967-2197,AMD Ryzen 5 7824X,2020-05-22
3929-7105-2047-2518,Intel Core i1-5533K,2019-09-26
5945-4570-3756-7534,AMD Ryzen 3 9678X,2019-11-13
2680-5349-2031-1897,Intel Core i3-8832K,2018-05-25
3580-5949-4055-7190,AMD Ryzen 4 3393X,2019-10-03
2529-7966-9829-5901,Intel Core i6-7481K,2019-08-30
4468-5725-2073-3876,AMD Ryzen 6 3794X,2019-12-08
2656-6778-9667-9984,Intel Core i8-7441K,2019-09-15
5893-8340-6916-2299,AMD Ryzen 8 6525X,2019-04-07
5575-9087-1852-4900,Intel Core i9-8413K,2018-11-27
1320-8094-5183-6336,AMD Ryzen 5 3360X,2020-10-09
9186-6957-7069-5322,Intel Core i6-4471K,2019-10-02
4102-5171-6753-9061,AMD Ryzen 4 2473X,2019-08-09
9442-1192-6147-3749,Intel Core i3-7238K,2019-03-15
1380-7023-4257-6761,AMD Ryzen 6 6750X,2020-07-26
9124-4588-2293-3628,Intel Core i3-1406K,2020-01-06
6622-4873-5447-6397,AMD Ryzen 9 2755X,2020-01-12
2102-6112-7807-9289,Intel Core i6-2836K,2018-06-16
7648-2137-7681-5318,AMD Ryzen 2 6444X,2018-10-24
8557-8690-4999-7792,Intel Core i9-6308K,2019-03-06
2604-8302-6119-3664,AMD Ryzen 2 8104X,2020-06-08
2432-5074-9422-2947,Intel Core i2-2254K,2017-12-11
7234-8904-8381-4154,AMD Ryzen 9 6908X,2020-09-22
2316-9995-4478-7422,Intel Core i4-7245K,2018-08-20
9977-6665-6790-9118,AMD Ryzen 5 1532X,2020-07-15
3001-8862-8096-3197,Intel Core i7-6790K,2020-04-22
6634-4372-2570-3931,AMD Ryzen 3 1438X,2020-04-01
7745-2551-4417-1871,Intel Core i2-1937K,2020-06-23
2984-9954-9120-8239,AMD Ryzen 7 7765X,2019-11-04
3111-8096-9936-8359,Intel Core i6-1904K,2017-11-28
2105-9534-1591-1167,AMD Ryzen 6 8724X,2018-04-19
8553-1260-9347-6261,Intel Core i3-9863K,2019-01-24
3100-7239-5639-9856,AMD Ryzen 5 6206X,2019-08-28
2403-1080-7272-1357,Intel Core i9-9500K,2018-11-07
7962-7831-9292-8109,AMD Ryzen 7 7897X,2019-01-13
6549-3277-4107-1127,Intel Core i2-7745K,2018-03-08
2356-2470-3547-2454,AMD Ryzen 6 4770X,2017-12-31
8105-9133-4352-3318,Intel Core i9-6839K,2020-05-05
4809-3611-5666-2347,AMD Ryzen 7 7549X,2020-02-23
4425-7441-7735-9550,Intel Core i2-2365K,2018-04-03
4801-7454-2162-1850,AMD Ryzen 2 1899X,2019-01-07
3094-8352-2644-2370,Intel Core i4-8612K,2018-06-30
2683-6119-5811-2066,AMD Ryzen 1 7941X,2020-08-26
3178-9178-3478-5064,Intel Core i4-9951K,2019-11-01
4829-5860-4578-4890,AMD Ryzen 4 1555X,2018-05-28
7442-8229-3511-1429,Intel Core i9-9436K,2019-05-04
5877-5345-4100-2873,AMD Ryzen 9 6102X,2020-05-02
6921-1083-1797-8702,Intel Core i3-3125K,2019-07-05
3758-4837-8229-5538,AMD Ryzen 7 7129X,2018-08-15
6540-7588-8788-8563,Intel Core i7-2520K,2019-04-17
6509-6877-9465-6126,AMD Ryzen 6 9681X,2018-07-31
8213-6734-3312-6820,Intel Core i7-1430K,2018-02-21
9186-3808-5466-7453,AMD Ryzen 3 4194X,2020-04-26
8809-5639-6902-2564,Intel Core i5-1983K,2018-08-19
3408-5956-2160-3750,AMD Ryzen 2 4497X,2019-08-14
3114-3966-1746-6760,Intel Core i2-6825K,2018-09-08
6013-9638-9219-7881,AMD Ryzen 1 9773X,2018-03-19
3429-9815-4186-2094,Intel Core i1-1279K,2020-09-18
9889-3446-8374-6805,AMD Ryzen 2 9427X,2019-02-12
2654-8117-1430-2187,Intel Core i7-1559K,2019-10-11
4407-6167-5325-2238,AMD Ryzen 3 6573X,2020-10-05
5339-3730-3400-1185,Intel Core i6-9969K,2020-01-10
1332-5428-8703-2266,AMD Ryzen 9 1941X,2019-08-09
3190-3779-6889-9603,Intel Core i4-4383K,2019-09-16
7642-9342-1745-3044,AMD Ryzen 5 1927X,2020-08-17
2869-8935-1273-3753,Intel Core i9-3468K,2020-03-01
5424-1590-5401-3631,AMD Ryzen 4 9825X,2018-09-09
1286-7361-2770-3991,Intel Core i3-4444K,2018-12-08
5348-8663-5336-8783,AMD Ryzen 2 3445X,2020-05-06
9355-7704-7762-9380,Intel Core i2-7837K,2019-05-09
4894-3442-6381-6422,AMD Ryzen 9 6650X,2018-04-19
7393-5844-4483-9562,Intel Core i8-2671K,2020-06-21
5815-5714-1186-6737,AMD Ryzen 3 7274X,2020-06-21
3388-9288-1720-9622,Intel Core i5-5891K,2017-11-02
3692-6101-8243-2125,AMD Ryzen 2 7957X,2018-09-11
6340-6375-1827-2701,Intel Core i4-9382K,2019-08-10
7399-9899-7082-9167,AMD Ryzen 5 1223X,2020-05-25
4519-8183-5798-2371,Intel Core i4-6525K,2019-07-17
9602-3153-3284-4947,AMD Ryzen 7 4767X,2019-06-06
2377-5507-4417-7715,Intel Core i6-5974K,2020-07-30
8482-2967-9180-7397,AMD Ryzen 3 9416X,2018-08-27
7485-6663-3239-9789,Intel Core i9-2583K,2018-02-07
4659-7597-5011-9583,AMD Ryzen 2 5441X,2019-08-09
5969-1339-6191-2367,Intel Core i5-1631K,2018-03-08
8978-1046-2556-3624,AMD Ryzen 4 2407X,2018-01-14
2800-6592-6010-9682,Intel Core i6-6587K,2019-04-14
1992-4588-6890-8469,AMD Ryzen 4 1636X,2018-11-20
1639-2423-5485-4964,Intel Core i8-6965K,2019-05-03
2120-1655-6466-6040,AMD Ryzen 9 9572X,2019-09-30
5526-1343-3056-3394,Intel Core i7-7552K,2019-08-10
7752-9411-8613-5132,AMD Ryzen 5 2488X,2018-08-17
5317-2286-8304-7667,Intel Core i6-6578K,2020-06-23
3423-4368-8965-2976,AMD Ryzen 9 5662X,2019-01-02
9755-5822-3879-4403,Intel Core i3-5133K,2019-10-15
8025-7637-7894-7390,AMD Ryzen 6 4508X,2020-10-04
1453-7337-5108-7087,Intel Core i9-2116K,2019-01-20
8779-1499-3708-9486,AMD Ryzen 7 5777X,2019-12-16
2585-2376-7371-7994,Intel Core i4-4311K,2019-12-05
9801-7940-5342-6145,AMD Ryzen 1 3260X,2019-12-18
9552-2478-7475-2480,Intel Core i2-7128K,2018-12-04
3507-6916-5395-7217,AMD Ryzen 1 3625X,2019-07-11
3684-2956-1853-7578,Intel Core i9-3777K,2019-09-07
8545-3616-3630-8427,AMD Ryzen 7 6144X,2020-07-10
2844-9375-2972-6674,Intel Core i1-7481K,2019-04-04
1371-1417-2412-7351,AMD Ryzen 8 5693X,2019-04-16
8865-4863-6961-3834,Intel Core i2-9422K,2018-12-25
5577-7865-1867-2915,AMD Ryzen 2 8309X,2019-11-09
2537-2433-8827-1670,Intel Core i1-2670K,2019-09-15
6718-1175-9753-6990,AMD Ryzen 8 9217X,2019-11-01
6594-8682-1680-6714,Intel Core i1-3928K,2020-04-20
9787-9577-3443-8363,AMD Ryzen 2 9747X,2019-11-05
3590-8239-2663-3648,Intel Core i1-3439K,2018-02-28
9226-7377-2570-6980,AMD Ryzen 6 5164X,2020-09-26
3454-4707-1202-4880,Intel Core i2-7921K,2020-02-06
5499-1741-1035-3570,AMD Ryzen 1 7161X,2019-05-14
4642-9386-8642-2648,Intel Core i6-3189K,2019-07-12
9786-8998-4857-5757,AMD Ryzen 9 5775X,2018-07-09
7366-3437-9721-6983,Intel Core i6-2391K,2020-05-14
5659-6586-7209-5076,AMD Ryzen 2 9391X,2019-07-28
1647-3631-2575-3373,Intel Core i1-8390K,2020-03-15
1384-6935-5844-6901,AMD Ryzen 1 4164X,2018-01-30
9875-7020-8186-5700,Intel Core i5-4751K,2020-05-03
9111-6431-4617-8511,AMD Ryzen 9 1785X,2019-02-08
2948-8505-3391-2567,Intel Core i6-4817K,2017-11-15
8694-7548-8568-1733,AMD Ryzen 8 2671X,2020-04-27
6920-9318-7419-1474,Intel Core i9-8950K,2019-03-14
6752-4314-1528-3605,AMD Ryzen 3 7293X,2020-07-29
7965-9734-8010-6043,Intel Core i7-4636K,2019-03-05
6411-5466-6585-3150,AMD Ryzen 1 5468X,2018-02-12
6083-8116-2552-3160,Intel Core i6-2299K,2019-06-28
1889-2823-4146-3539,AMD Ryzen 7 1918X,2020-05-26
2472-3722-6677-3884,Intel Core i1-6419K,2019-05-24
3507-2710-4244-1689,AMD Ryzen 7 2707X,2019-01-02
4977-4193-4512-7261,Intel Core i7-4866K,2020-05-18
3303-2875-1606-1035,AMD Ryzen 4 9104X,2018-08-06
1764-4596-4677-9500,Intel Core i8-5885K,2018-10-30
1791-6776-3492-7011,AMD Ryzen 9 2679X,2018-07-09
6908-3969-5755-1830,Intel Core i8-1631K,2019-02-11
5702-8034-6041-7407,AMD Ryzen 6 7975X,2018-03-18
1417-8775-5710-3403,Intel Core i6-4732K,2020-03-02
4700-2983-4307-1783,AMD Ryzen 8 6364X,2018-01-11
3169-1112-3882-6106,Intel Core i2-4869K,2018-09-27
2716-8705-7674-5085,AMD Ryzen 8 1634X,2020-03-24
1132-5324-1696-8532,Intel Core i3-8577K,2018-02-12
9704-7394-8512-7998,AMD Ryzen 3 4213X,2019-08-07
2575-4645-5019-1764,Intel Core i2-2995K,2018-08-14
7104-1943-2253-9133,AMD Ryzen 2 2451X,2020-03-23
8725-8104-2696-2057,Intel Core i1-7286K,2020-03-27
8493-4369-2918-5501,AMD Ryzen 8 5442X,2019-09-03
4576-7558-2411-5746,Intel Core i3-2422K,2020-04-29
9669-7558-7398-5145,AMD Ryzen 9 9902X,2017-11-14
9405-5459-8814-1055,Intel Core i6-1901K,2019-06-22
8893-7498-8178-1646,AMD Ryzen 1 9846X,2018-08-29
4979-2288-5193-5342,Intel Core i1-9224K,2019-04-01
2753-7796-5351-3669,AMD Ryzen 2 3284X,2020-03-31
2671-4124-1894-7766,Intel Core i5-4193K,2018-08-13
3207-6288-8958-7725,AMD Ryzen 1 2753X,2020-01-11
6413-8323-2315-2017,Intel Core i7-8940K,2020-03-15
9855-9134-7201-2426,AMD Ryzen 5 8451X,2019-03-12
8816-1758-1800-6309,Intel Core i1-5215K,2018-01-03
3080-8298-6625-1400,AMD Ryzen 6 6975X,2020-08-07
6156-7536-2993-5475,Intel Core i3-8884K,2020-09-30
3159-8663-2085-4356,AMD Ryzen 9 2701X,2020-04-06
5799-2252-1495-1576,Intel Core i2-1429K,2018-01-06
8962-9551-3834-9308,AMD Ryzen 8 9192X,2017-12-16
5099-6551-1595-8128,Intel Core i9-2982K,2020-03-16
6246-5648-4733-3667,AMD Ryzen 3 1649X,2019-05-12
2517-8293-9434-1395,Intel Core i2-7412K,2019-06-29
6826-1301-5165-2847,AMD Ryzen 9 8805X,2019-03-09
1830-6364-6800-6070,Intel Core i7-3475K,2020-05-11
2075-5611-1080-4301,AMD Ryzen 2 7929X,2020-07-08
9301-3926-9302-6851,Intel Core i4-6113K,2018-07-14
9641-8610-4077-3231,AMD Ryzen 1 9855X,2018-06-23
8028-2854-1497-5766,Intel Core i7-9161K,2018-04-21
4410-8979-5163-2616,AMD Ryzen 1 2824X,2020-05-19
7681-5850-2628-1655,Intel Core i6-9443K,2019-04-10
2228-4703-2740-1468,AMD Ryzen 4 4660X,2018-07-03
5897-1565-7625-8052,Intel Core i2-7122K,2017-12-08
3491-1578-7433-3671,AMD Ryzen 4 4806X,2020-02-01
4176-6556-2513-4873,Intel Core i4-4354K,2019-12-23
6816-6241-8712-9755,AMD Ryzen 5 3485X,2019-04-16
9976-9012-2225-6637,Intel Core i6-4607K,2018-03-07
7248-8715-1344-5921,AMD Ryzen 6 3164X,2019-06-30
1022-8402-3171-2746,Intel Core i2-1204K,2019-09-03
8501-4969-3773-8856,AMD Ryzen 2 5989X,2020-04-05
2226-4950-4241-6480,Intel Core i8-3228K,2019-04-14
6890-9987-5433-3498,AMD Ryzen 4 1946X,2018-01-21
7027-9880-8075-1271,Intel Core i4-1145K,2018-06-04
8068-8005-7981-3199,AMD Ryzen 1 1618X,2019-09-11
4141-3307-7947-4031,Intel Core i3-2390K,2019-10-22
8611-9960-9466-9261,AMD Ryzen 1 8557X,2020-05-25
7373-8535-6274-4566,Intel Core i9-4334K,2019-09-22
6235-3621-6406-8015,AMD Ryzen 1 2168X,2019-09-07
1975-2939-2201-4296,Intel Core i2-1750K,2020-05-16
6204-1741-5335-4386,AMD Ryzen 6 1350X,2018-07-19
7275-8641-1463-4379,Intel Core i6-6774K,2019-04-23
4576-7362-6101-3027,AMD Ryzen 4 1710X,2019-08-10
1050-3631-9774-6711,Intel Core i8-9953K,2019-04-07
4669-1039-2774-6713,AMD Ryzen 7 2557X,2020-03-07
5733-9574-1630-2700,Intel Core i5-6595K,2019-12-26
5570-7132-3205-4668,AMD Ryzen 4 5569X,2019-10-03
9871-1402-2651-4635,Intel Core i8-7190K,2019-06-16
8305-4674-7090-9986,AMD Ryzen 4 1295X,2018-08-18
8560-2139-2399-8646,Intel Core i1-9773K,2018-03-20
1617-4486-3788-9185,AMD Ryzen 4 9550X,2019-08-24
2659-6882-1649-2869,Intel Core i6-9933K,2020-07-12
9862-8423-6211-1460,AMD Ryzen 5 1998X,2018-06-14
1452-5291-9632-6130,Intel Core i7-1908K,2017-12-24
4712-3631-6908-9672,AMD Ryzen 9 4700X,2018-08-08
3958-8059-9796-1868,Intel Core i4-5275K,2020-07-11
9317-6688-1620-6259,AMD Ryzen 3 4833X,2020-07-01
7301-4265-4112-9532,Intel Core i1-7244K,2018-08-12
7169-1234-9655-9262,AMD Ryzen 2 3478X,2020-03-24
5256-9987-8996-6402,Intel Core i6-8187K,2019-08-18
4377-9024-4918-7188,AMD Ryzen 8 2271X,2019-05-03
3564-3033-9192-9300,Intel Core i7-1552K,2020-03-07
8544-7330-5860-1817,AMD Ryzen 4 8314X,2019-05-28
4449-3618-6061-1979,Intel Core i1-7583K,2018-01-06
8757-9017-3797-9755,AMD Ryzen 5 7609X,2020-05-18
3003-4303-4817-1492,Intel Core i1-7983K,2018-01-09
7686-1416-1241-4866,AMD Ryzen 7 1824X,2018-07-05
2721-6480-9542-7998,Intel Core i9-9894K,2019-02-16
9173-5559-7326-8411,AMD Ryzen 9 5554X,2018-10-02
9459-4029-4476-3335,Intel Core i8-9201K,2018-01-05
8644-6197-9898-2524,AMD Ryzen 2 9905X,2020-04-08
4207-2995-8835-7944,Intel Core i9-3258K,2018-07-22
9750-2388-8825-9994,AMD Ryzen 1 4577X,2018-03-24
4147-7153-7193-5739,Intel Core i8-9825K,2020-07-05
4914-6072-4416-5626,AMD Ryzen 6 2751X,2020-03-16
6932-4675-9131-2209,Intel Core i3-1557K,2019-05-03
4393-8420-9272-3320,AMD Ryzen 2 9711X,2018-08-05
9659-2607-6654-7277,Intel Core i7-5883K,2019-02-03
1155-8726-6617-3647,AMD Ryzen 1 1126X,2017-12-26
8009-7233-6338-7155,Intel Core i2-3869K,2019-06-27
3436-4809-3001-9587,AMD Ryzen 8 7725X,2020-05-07
6328-3952-7609-5490,Intel Core i4-9606K,2019-08-18
8119-2724-5165-6705,AMD Ryzen 7 3309X,2018-02-18
9903-4179-5856-4189,Intel Core i3-5133K,2019-04-10
8275-7183-9536-3332,AMD Ryzen 1 9942X,2018-08-19
6812-3701-3887-9596,Intel Core i6-3985K,2019-11-23
8529-2818-7935-8711,AMD Ryzen 7 2884X,2018-06-30
9987-9879-4434-8056,Intel Core i2-5909K,2018-07-09
6980-4063-4521-8620,AMD Ryzen 4 4993X,2019-07-13
6157-8045-2664-9226,Intel Core i4-3972K,2019-10-18
6531-6015-3420-9992,AMD Ryzen 3 3646X,2019-03-14
2174-4944-7456-6673,Intel Core i8-1806K,2017-12-17
7318-8693-9761-6614,AMD Ryzen 4 3881X,2018-07-16
8320-1389-6761-8660,Intel Core i7-2535K,2018-07-21
5288-9557-1522-7578,AMD Ryzen 3 2339X,2020-04-11
7383-4476-8878-6290,Intel Core i3-8489K,2019-08-05
5357-1069-5640-3225,AMD Ryzen 7 1324X,2018-06-15
7501-2201-5819-3421,Intel Core i1-9154K,2019-12-27
2281-7708-1102-7786,AMD Ryzen 6 2556X,2020-07-13
9369-2682-6732-2742,Intel Core i4-3719K,2020-10-07
6324-4871-1172-6849,AMD Ryzen 5 2952X,2019-06-21
5946-8475-4909-7192,Intel Core i8-9614K,2018-03-16
1126-2042-5949-8153,AMD Ryzen 9 5326X,2019-06-29
8897-7051-8064-1332,Intel Core i1-3805K,2018-04-22
1000-1293-3496-7245,AMD Ryzen 5 8206X,2018-10-21
9824-3503-2984-5090,Intel Core i5-9116K,2018-04-04
7799-6613-1769-4264,AMD Ryzen 9 4105X,2019-08-08
9827-7699-4099-4731,Intel Core i9-2954K,2020-07-09
3308-8452-3418-1351,AMD Ryzen 1 9253X,2019-02-15
5293-5780-6047-4901,Intel Core i6-7502K,2019-01-14
4922-3304-8061-6102,AMD Ryzen 3 7842X,2020-01-27
7076-1665-1985-3095,Intel Core i1-9969K,2020-07-26
